Designator,Mid X,Mid Y,Rotation,Layer
R60,190.65,-98.2,90.0,top
R61,181.45,-78.45,180.0,top
R62,195.575,-98.3,0.0,top
R63,196.8,-104.76,90.0,top
R64,190.7,-118.2,0.0,top
R65,177.35,-71.625,90.0,top
R66,175.53,-76.555,270.0,top
R67,202.225,-104.95,90.0,top
R68,104.325,-141.325,270.0,top
R69,176.98,-74.955,0.0,top
R7,114.75,-72.1,0.0,top
R70,176.28,-78.505,0.0,top
R71,200.875,-104.425,270.0,top
R8,114.7,-73.94,180.0,top
R9,114.7,-74.99,180.0,top
SW1,130.0,-71.0,0.0,top
SW10,208.125,-102.125,90.0,top
SW2,161.0,-71.0,180.0,top
SW4,84.75,-131.1025,0.0,top
SW5,92.01,-124.0,180.0,top
SW6,100.26,-131.0,180.0,top
SW7,197.45,-138.4,0.0,top
SW8,205.95,-131.4,180.0,top
SW9,92.26,-138.5,0.0,top
U1,147.15,-74.9265,0.0,top
U11,181.95,-76.0,0.0,top
U12,179.625,-72.1,270.0,top
U18,178.1,-83.65,270.0,top
U2,190.550001,-103.845,180.0,top
U3,118.65,-75.92,0.0,top
U4,187.55,-93.875,180.0,top
U5,198.825,-105.63,0.0,top
U6,85.6,-89.225,270.0,top
U8,173.075,-75.5,180.0,top
U9,190.575,-114.8,90.0,top
